24796.93	12398.46	   0.00	   0.00	   0.00	12398.46	6199.23	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	

12398.46	49593.85	12398.46	   0.00	   0.00	6199.23	24796.93	6199.23	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	

   0.00	12398.46	49593.85	12398.46	   0.00	   0.00	6199.23	24796.93	6199.23	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	

   0.00	   0.00	12398.46	49593.85	12398.46	   0.00	   0.00	6199.23	24796.93	6199.23	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	

   0.00	   0.00	   0.00	12398.46	24796.93	   0.00	   0.00	   0.00	6199.23	12398.46	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	

12398.46	6199.23	   0.00	   0.00	   0.00	49593.85	24796.93	   0.00	   0.00	   0.00	12398.46	6199.23	   0.00	   0.00	   0.00	   0.00	

6199.23	24796.93	6199.23	   0.00	   0.00	24796.93	99187.70	24796.93	   0.00	   0.00	6199.23	24796.93	6199.23	   0.00	   0.00	   0.00	

   0.00	6199.23	24796.93	6199.23	   0.00	   0.00	24796.93	99187.70	24796.93	   0.00	   0.00	6199.23	24796.93	6199.23	   0.00	   0.00	

   0.00	   0.00	6199.23	24796.93	6199.23	   0.00	   0.00	24796.93	99187.70	24796.93	   0.00	   0.00	6199.23	24796.93	6199.23	   0.00	

   0.00	   0.00	   0.00	6199.23	12398.46	   0.00	   0.00	   0.00	24796.93	49593.85	   0.00	   0.00	   0.00	6199.23	12398.46	   0.00	

   0.00	   0.00	   0.00	   0.00	   0.00	12398.46	6199.23	   0.00	   0.00	   0.00	49593.85	24796.93	   0.00	   0.00	   0.00	12398.46	

   0.00	   0.00	   0.00	   0.00	   0.00	6199.23	24796.93	6199.23	   0.00	   0.00	24796.93	99187.70	24796.93	   0.00	   0.00	6199.23	

   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	6199.23	24796.93	6199.23	   0.00	   0.00	24796.93	99187.70	24796.93	   0.00	   0.00	

   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	6199.23	24796.93	6199.23	   0.00	   0.00	24796.93	99187.70	24796.93	   0.00	

   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	6199.23	12398.46	   0.00	   0.00	   0.00	24796.93	49593.85	   0.00	

   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	   0.00	12398.46	6199.23	   0.00	   0.00	   0.00	49593.85	

