Numer elementu / Lokalny numer wezla / Globalny numer wezla / (x,y)
(34, 3, 75, (32.5, -47.5))
(34, 4, 76, (35.0, -47.5))
(35, 1, 35, (35.0, -50.0))
(35, 2, 36, (37.5, -50.0))
(35, 3, 76, (35.0, -47.5))
(35, 4, 77, (37.5, -47.5))
(36, 1, 36, (37.5, -50.0))
(36, 2, 37, (40.0, -50.0))
(36, 3, 77, (37.5, -47.5))
(36, 4, 78, (40.0, -47.5))
(37, 1, 37, (40.0, -50.0))
(37, 2, 38, (42.5, -50.0))
(37, 3, 78, (40.0, -47.5))
(37, 4, 79, (42.5, -47.5))
(38, 1, 38, (42.5, -50.0))
(38, 2, 39, (45.0, -50.0))
(38, 3, 79, (42.5, -47.5))
(38, 4, 80, (45.0, -47.5))
(39, 1, 39, (45.0, -50.0))
(39, 2, 40, (47.5, -50.0))
(39, 3, 80, (45.0, -47.5))
(39, 4, 81, (47.5, -47.5))
(40, 1, 40, (47.5, -50.0))
(40, 2, 41, (50.0, -50.0))
(40, 3, 81, (47.5, -47.5))
(40, 4, 82, (50.0, -47.5))
(41, 1, 42, (-50.0, -47.5))
(41, 2, 43, (-47.5, -47.5))
(41, 3, 83, (-50.0, -45.0))
(41, 4, 84, (-47.5, -45.0))
(42, 1, 43, (-47.5, -47.5))
(42, 2, 44, (-45.0, -47.5))
(42, 3, 84, (-47.5, -45.0))
(42, 4, 85, (-45.0, -45.0))
(43, 1, 44, (-45.0, -47.5))
(43, 2, 45, (-42.5, -47.5))
(43, 3, 85, (-45.0, -45.0))
(43, 4, 86, (-42.5, -45.0))
(44, 1, 45, (-42.5, -47.5))
(44, 2, 46, (-40.0, -47.5))
(44, 3, 86, (-42.5, -45.0))
(44, 4, 87, (-40.0, -45.0))
(45, 1, 46, (-40.0, -47.5))
(45, 2, 47, (-37.5, -47.5))
(45, 3, 87, (-40.0, -45.0))
(45, 4, 88, (-37.5, -45.0))
(46, 1, 47, (-37.5, -47.5))
(46, 2, 48, (-35.0, -47.5))
(46, 3, 88, (-37.5, -45.0))
(46, 4, 89, (-35.0, -45.0))
(47, 1, 48, (-35.0, -47.5))
(47, 2, 49, (-32.5, -47.5))
(47, 3, 89, (-35.0, -45.0))
(47, 4, 90, (-32.5, -45.0))
(48, 1, 49, (-32.5, -47.5))
(48, 2, 50, (-30.0, -47.5))
(48, 3, 90, (-32.5, -45.0))
(48, 4, 91, (-30.0, -45.0))
(49, 1, 50, (-30.0, -47.5))
(49, 2, 51, (-27.5, -47.5))
(49, 3, 91, (-30.0, -45.0))
(49, 4, 92, (-27.5, -45.0))
(50, 1, 51, (-27.5, -47.5))
(50, 2, 52, (-25.0, -47.5))
(50, 3, 92, (-27.5, -45.0))
(50, 4, 93, (-25.0, -45.0))
(51, 1, 52, (-25.0, -47.5))
(51, 2, 53, (-22.5, -47.5))
(51, 3, 93, (-25.0, -45.0))
(51, 4, 94, (-22.5, -45.0))
(52, 1, 53, (-22.5, -47.5))
(52, 2, 54, (-20.0, -47.5))
(52, 3, 94, (-22.5, -45.0))
(52, 4, 95, (-20.0, -45.0))
(53, 1, 54, (-20.0, -47.5))
(53, 2, 55, (-17.5, -47.5))
(53, 3, 95, (-20.0, -45.0))
(53, 4, 96, (-17.5, -45.0))
(54, 1, 55, (-17.5, -47.5))
(54, 2, 56, (-15.0, -47.5))
(54, 3, 96, (-17.5, -45.0))
(54, 4, 97, (-15.0, -45.0))
(55, 1, 56, (-15.0, -47.5))
(55, 2, 57, (-12.5, -47.5))
(55, 3, 97, (-15.0, -45.0))
(55, 4, 98, (-12.5, -45.0))
(56, 1, 57, (-12.5, -47.5))
(56, 2, 58, (-10.0, -47.5))
(56, 3, 98, (-12.5, -45.0))
(56, 4, 99, (-10.0, -45.0))
(57, 1, 58, (-10.0, -47.5))
(57, 2, 59, (-7.5, -47.5))
(57, 3, 99, (-10.0, -45.0))
(57, 4, 100, (-7.5, -45.0))
(58, 1, 59, (-7.5, -47.5))
(58, 2, 60, (-5.0, -47.5))
(58, 3, 100, (-7.5, -45.0))
(58, 4, 101, (-5.0, -45.0))
(59, 1, 60, (-5.0, -47.5))
(59, 2, 61, (-2.5, -47.5))
(59, 3, 101, (-5.0, -45.0))
(59, 4, 102, (-2.5, -45.0))
(60, 1, 61, (-2.5, -47.5))
(60, 2, 62, (0.0, -47.5))
(60, 3, 102, (-2.5, -45.0))
(60, 4, 103, (0.0, -45.0))
(61, 1, 62, (0.0, -47.5))
(61, 2, 63, (2.5, -47.5))
(61, 3, 103, (0.0, -45.0))
(61, 4, 104, (2.5, -45.0))
(62, 1, 63, (2.5, -47.5))
(62, 2, 64, (5.0, -47.5))
(62, 3, 104, (2.5, -45.0))
(62, 4, 105, (5.0, -45.0))
(63, 1, 64, (5.0, -47.5))
(63, 2, 65, (7.5, -47.5))
(63, 3, 105, (5.0, -45.0))
(63, 4, 106, (7.5, -45.0))
(64, 1, 65, (7.5, -47.5))
(64, 2, 66, (10.0, -47.5))
(64, 3, 106, (7.5, -45.0))
(64, 4, 107, (10.0, -45.0))
(65, 1, 66, (10.0, -47.5))
(65, 2, 67, (12.5, -47.5))
(65, 3, 107, (10.0, -45.0))
(65, 4, 108, (12.5, -45.0))
(66, 1, 67, (12.5, -47.5))
(66, 2, 68, (15.0, -47.5))
(66, 3, 108, (12.5, -45.0))
(66, 4, 109, (15.0, -45.0))
(67, 1, 68, (15.0, -47.5))
(67, 2, 69, (17.5, -47.5))
(67, 3, 109, (15.0, -45.0))
(67, 4, 110, (17.5, -45.0))
(68, 1, 69, (17.5, -47.5))
(68, 2, 70, (20.0, -47.5))
(68, 3, 110, (17.5, -45.0))
(68, 4, 111, (20.0, -45.0))
(69, 1, 70, (20.0, -47.5))
(69, 2, 71, (22.5, -47.5))
(69, 3, 111, (20.0, -45.0))
(69, 4, 112, (22.5, -45.0))
(70, 1, 71, (22.5, -47.5))
(70, 2, 72, (25.0, -47.5))
(70, 3, 112, (22.5, -45.0))
(70, 4, 113, (25.0, -45.0))
(71, 1, 72, (25.0, -47.5))
(71, 2, 73, (27.5, -47.5))
(71, 3, 113, (25.0, -45.0))
(71, 4, 114, (27.5, -45.0))
(72, 1, 73, (27.5, -47.5))
(72, 2, 74, (30.0, -47.5))
(72, 3, 114, (27.5, -45.0))
(72, 4, 115, (30.0, -45.0))
(73, 1, 74, (30.0, -47.5))
(73, 2, 75, (32.5, -47.5))
(73, 3, 115, (30.0, -45.0))
(73, 4, 116, (32.5, -45.0))
(74, 1, 75, (32.5, -47.5))
(74, 2, 76, (35.0, -47.5))
(74, 3, 116, (32.5, -45.0))
(74, 4, 117, (35.0, -45.0))
(75, 1, 76, (35.0, -47.5))
(75, 2, 77, (37.5, -47.5))
(75, 3, 117, (35.0, -45.0))
(75, 4, 118, (37.5, -45.0))
(76, 1, 77, (37.5, -47.5))
(76, 2, 78, (40.0, -47.5))
(76, 3, 118, (37.5, -45.0))
(76, 4, 119, (40.0, -45.0))
(77, 1, 78, (40.0, -47.5))
(77, 2, 79, (42.5, -47.5))
(77, 3, 119, (40.0, -45.0))
(77, 4, 120, (42.5, -45.0))
(78, 1, 79, (42.5, -47.5))
(78, 2, 80, (45.0, -47.5))
(78, 3, 120, (42.5, -45.0))
(78, 4, 121, (45.0, -45.0))
(79, 1, 80, (45.0, -47.5))
(79, 2, 81, (47.5, -47.5))
(79, 3, 121, (45.0, -45.0))
(79, 4, 122, (47.5, -45.0))
(80, 1, 81, (47.5, -47.5))
(80, 2, 82, (50.0, -47.5))
(80, 3, 122, (47.5, -45.0))
(80, 4, 123, (50.0, -45.0))
(81, 1, 83, (-50.0, -45.0))
(81, 2, 84, (-47.5, -45.0))
(81, 3, 124, (-50.0, -42.5))
(81, 4, 125, (-47.5, -42.5))
(82, 1, 84, (-47.5, -45.0))
(82, 2, 85, (-45.0, -45.0))
(82, 3, 125, (-47.5, -42.5))
(82, 4, 126, (-45.0, -42.5))
(83, 1, 85, (-45.0, -45.0))
(83, 2, 86, (-42.5, -45.0))
(83, 3, 126, (-45.0, -42.5))
(83, 4, 127, (-42.5, -42.5))
(84, 1, 86, (-42.5, -45.0))
(84, 2, 87, (-40.0, -45.0))
(84, 3, 127, (-42.5, -42.5))
(84, 4, 128, (-40.0, -42.5))
(85, 1, 87, (-40.0, -45.0))
(85, 2, 88, (-37.5, -45.0))
(85, 3, 128, (-40.0, -42.5))
(85, 4, 129, (-37.5, -42.5))
(86, 1, 88, (-37.5, -45.0))
(86, 2, 89, (-35.0, -45.0))
(86, 3, 129, (-37.5, -42.5))
(86, 4, 130, (-35.0, -42.5))
(87, 1, 89, (-35.0, -45.0))
(87, 2, 90, (-32.5, -45.0))
(87, 3, 130, (-35.0, -42.5))
(87, 4, 131, (-32.5, -42.5))
(88, 1, 90, (-32.5, -45.0))
(88, 2, 91, (-30.0, -45.0))
(88, 3, 131, (-32.5, -42.5))
(88, 4, 132, (-30.0, -42.5))
(89, 1, 91, (-30.0, -45.0))
(89, 2, 92, (-27.5, -45.0))
(89, 3, 132, (-30.0, -42.5))
(89, 4, 133, (-27.5, -42.5))
(90, 1, 92, (-27.5, -45.0))
(90, 2, 93, (-25.0, -45.0))
(90, 3, 133, (-27.5, -42.5))
(90, 4, 134, (-25.0, -42.5))
(91, 1, 93, (-25.0, -45.0))
(91, 2, 94, (-22.5, -45.0))
(91, 3, 134, (-25.0, -42.5))
(91, 4, 135, (-22.5, -42.5))
(92, 1, 94, (-22.5, -45.0))
(92, 2, 95, (-20.0, -45.0))
(92, 3, 135, (-22.5, -42.5))
(92, 4, 136, (-20.0, -42.5))
(93, 1, 95, (-20.0, -45.0))
(93, 2, 96, (-17.5, -45.0))
(93, 3, 136, (-20.0, -42.5))
(93, 4, 137, (-17.5, -42.5))
(94, 1, 96, (-17.5, -45.0))
(94, 2, 97, (-15.0, -45.0))
(94, 3, 137, (-17.5, -42.5))
(94, 4, 138, (-15.0, -42.5))
(95, 1, 97, (-15.0, -45.0))
(95, 2, 98, (-12.5, -45.0))
(95, 3, 138, (-15.0, -42.5))
(95, 4, 139, (-12.5, -42.5))
(96, 1, 98, (-12.5, -45.0))
(96, 2, 99, (-10.0, -45.0))
(96, 3, 139, (-12.5, -42.5))
(96, 4, 140, (-10.0, -42.5))
(97, 1, 99, (-10.0, -45.0))
(97, 2, 100, (-7.5, -45.0))
(97, 3, 140, (-10.0, -42.5))
(97, 4, 141, (-7.5, -42.5))
